"soloistinstrument","cleaname"
"Children's Chorus","Alban Berg"
"Flute","Alban Berg"
"Soprano","Alban Berg"
"Soprano","Alban Berg"
"Clarinet","Alban Berg"
"Violin","Alban Berg"
"Soprano","Alban Berg"
"Violin","Alban Berg"
"Piano","Alban Berg"
"Soprano","Alban Berg"
"Soprano","Alban Berg"
"Trumpet","Alban Berg"
"French Horn","Alban Berg"
"Violin","Alban Berg"
"Soprano","Alban Berg"
"Violin","Alban Berg"
"Piccolo","Alban Berg"
"Soprano","Alban Berg"
"Soprano","Alban Berg"
"Soprano","Alban Berg"
"Soprano","Alban Berg"
"Soprano","Alban Berg"
"Oboe","Alban Berg"
"Oboe","Alban Berg"
"Violin","Alban Berg"
"Violin","Alban Berg"
"Violin","Alban Berg"
"Violin","Alban Berg"
"Violin","Alban Berg"
"Mezzo-Soprano","Alban Berg"
"Mezzo-Soprano","Alban Berg"
"Soprano","Alban Berg"
"Soprano","Alban Berg"
"Clarinet","Alban Berg"
"Soprano","Alban Berg"
"Trombone","Alban Berg"
"Soprano","Alban Berg"
"Violin","Alban Berg"
"Soprano","Alban Berg"
"Violin","Alban Berg"
"Soprano","Alban Berg"
"Violin","Alban Berg"
"Piano","Alban Berg"
"Flute","Alban Berg"
"Soprano","Alban Berg"
"Piccolo","Alban Berg"
"Soprano","Alban Berg"
"Violin","Alban Berg"
"Piano","Alban Berg"
"Flute","Alban Berg"
"Soprano","Alban Berg"
"Mezzo-Soprano","Alban Berg"
"Trombone","Alban Berg"
"Mezzo-Soprano","Alban Berg"
"Mezzo-Soprano","Alban Berg"
"Soprano","Alban Berg"
"English Horn","Alban Berg"
"Piccolo","Alban Berg"
"English Horn","Alban Berg"
"Oboe","Alban Berg"
"Mezzo-Soprano","Alban Berg"
"Soprano","Alban Berg"
"Soprano","Alban Berg"
"Violin","Alban Berg"
"Trumpet","Alban Berg"
"Bassoon","Alban Berg"
"Clarinet","Alban Berg"
"Soprano","Alban Berg"
"Violin","Alban Berg"
"French Horn","Alban Berg"
"Violin","Alban Berg"
"French Horn","Alban Berg"
"Soprano","Alban Berg"
"Dancer","Irenee Berge"
"Clarinet","Arthur Berger"
"Oboe","Arthur Berger"
"Bassoon","Arthur Berger"
"Flute","Arthur Berger"
"Bassoon","Carl Bergmann"
"Clarinet","Carl Bergmann"
"Clarinet","Carl Bergmann"
"Bassoon","Carl Bergmann"
"Cello","Frederick Bergner"
"Clarinet","Michal Bergson"
"Piano","Adolfo Berio"
"Piano","Adolfo Berio"
"Piano","Adolfo Berio"
"Piano","Adolfo Berio"
"Ensemble","Luciano Berio"
"Tenor","Luciano Berio"
"Viola","Luciano Berio"
"Soprano","Luciano Berio"
"Guitar","Luciano Berio"
"Bassoon","Luciano Berio"
"Soprano","Luciano Berio"
"Violin","Luciano Berio"
"Flute","Luciano Berio"
"Bass","Luciano Berio"
"Viola","Luciano Berio"
"Soprano","Luciano Berio"
"Cello","Luciano Berio"
"Tenor","Luciano Berio"
"Ensemble","Luciano Berio"
"Alto","Luciano Berio"
"Clarinet","Luciano Berio"
"Ensemble","Luciano Berio"
"Bass","Luciano Berio"
"Tenor","Luciano Berio"
"Piano","Luciano Berio"
"Piano","Luciano Berio"
"Piano","Luciano Berio"
"Piano","Luciano Berio"
"Tenor","Luciano Berio"
"Alto","Luciano Berio"
"Viola","Luciano Berio"
"Trumpet","Luciano Berio"
"Soprano","Luciano Berio"
"Tenor","Luciano Berio"
"Piano","Luciano Berio"
"Alto","Luciano Berio"
"Alto","Luciano Berio"
"Bass","Luciano Berio"
"Piano","Luciano Berio"
"Alto","Luciano Berio"
"Tenor","Luciano Berio"
"Bass","Luciano Berio"
"Ensemble","Luciano Berio"
"Trombone","Luciano Berio"
"Soprano","Luciano Berio"
"Soprano","Luciano Berio"
"Bass","Luciano Berio"
"Soprano","Luciano Berio"
"Tenor","Luciano Berio"
"Ensemble","Luciano Berio"
"Bass","Luciano Berio"
"Percussion","Luciano Berio"
"Mezzo-Soprano","Luciano Berio"
"Bass","Luciano Berio"
"Piano","Luciano Berio"
"Bass","Luciano Berio"
"Alto","Luciano Berio"
"Ensemble","Luciano Berio"
"Ensemble","Luciano Berio"
"Harp","Luciano Berio"
"Soprano","Luciano Berio"
"Harp","Luciano Berio"
"Soprano","Luciano Berio"
"Violin","Luciano Berio"
"Alto","Luciano Berio"
"Ensemble","Luciano Berio"
"Alto","Luciano Berio"
"Tenor","Luciano Berio"
"Bass","Luciano Berio"
"Percussion","Luciano Berio"
"Soprano","Luciano Berio"
"Soprano","Luciano Berio"
"Alto","Luciano Berio"
"Bass","Luciano Berio"
"Soprano","Luciano Berio"
"Narrator","Luciano Berio"
"Oboe","Luciano Berio"
"Violin","Luciano Berio"
"Tenor","Luciano Berio"
"Ensemble","Luciano Berio"
"Tenor","Luciano Berio"
"Piano","Luciano Berio"
"Soprano","Luciano Berio"
"Piano","Luciano Berio"
"Violin","Charles-Auguste de Beriot"
"Violin","Charles-Auguste de Beriot"
"Violin","Charles-Auguste de Beriot"
"Violin","Charles-Auguste de Beriot"
"Oboe","Charles-Auguste de Beriot"
"Violin","Charles-Auguste de Beriot"
"French Horn","Sir Lennox Berkeley"
"Piano","Sir Lennox Berkeley"
"Violin","Sir Lennox Berkeley"
"Tuba","Irving Berlin"
"Piano","Irving Berlin"
"Trumpet","Irving Berlin"
"Soprano","Irving Berlin"
"French Horn","Irving Berlin"
"Baritone","Irving Berlin"
"Trumpet","Irving Berlin"
"French Horn","Irving Berlin"
"Vocalist","Irving Berlin"
"Baritone","Irving Berlin"
"Piano","Irving Berlin"
"Soprano","Irving Berlin"
"Piano","Irving Berlin"
"Trombone","Irving Berlin"
"Baritone","Irving Berlin"
"Vocalist","Irving Berlin"
"Trumpet","Irving Berlin"
"Tuba","Irving Berlin"
"Ensemble","Irving Berlin"
"Trumpet","Irving Berlin"
"French Horn","Irving Berlin"
"Jazz Bass","Irving Berlin"
"Trombone","Irving Berlin"
"Soprano","Irving Berlin"
"Piano","Irving Berlin"
"Trombone","Irving Berlin"
"Soprano","Irving Berlin"
"Baritone","Irving Berlin"
"Percussion","Irving Berlin"
"Soprano","Irving Berlin"
"Percussion","Irving Berlin"
"Tuba","Irving Berlin"
"Trumpet","Irving Berlin"
"Piano","Irving Berlin"
"Trumpet","Irving Berlin"
"Soprano","Irving Berlin"
"French Horn","Irving Berlin"
"Piano","Irving Berlin"
"Percussion","Irving Berlin"
"Brass Quintet","Irving Berlin"
"Trumpet","Irving Berlin"
"Sing-Along","Irving Berlin"
"Trumpet","Irving Berlin"
"None","Irving Berlin"
"Tuba","Irving Berlin"
"Vocalist","Irving Berlin"
"Piano","Irving Berlin"
"Brass Quintet","Irving Berlin"
"French Horn","Irving Berlin"
"Percussion","Irving Berlin"
"Tuba","Irving Berlin"
"Piano","Irving Berlin"
"Percussion","Irving Berlin"
"Piano","Irving Berlin"
"Baritone","Irving Berlin"
"Baritone","Irving Berlin"
"Soprano","Irving Berlin"
"Trumpet","Irving Berlin"
"Baritone","Irving Berlin"
"Soprano","Irving Berlin"
"Baritone","Irving Berlin"
"Jazz Bass","Irving Berlin"
"Baritone","Irving Berlin"
"Contrabass","Irving Berlin"
"Soprano","Irving Berlin"
"Piano","Irving Berlin"
"Trombone","Irving Berlin"
"Trombone","Irving Berlin"
"Soprano","Irving Berlin"
"Percussion","Irving Berlin"
"Trumpet","Irving Berlin"
"French Horn","Irving Berlin"
"Brass Quintet","Irving Berlin"
"Jazz Bass","Irving Berlin"
"Soprano","Irving Berlin"
"Vocalist","Irving Berlin"
"Tenor","Irving Berlin"
"Trombone","Irving Berlin"
"Contrabass","Irving Berlin"
"Soprano","Irving Berlin"
"Soprano","Irving Berlin"
"Soprano","Irving Berlin"
"Baritone","Irving Berlin"
"Trumpet","Irving Berlin"
"Ensemble","Irving Berlin"
"Baritone","Irving Berlin"
"Soprano","Irving Berlin"
"None","Irving Berlin"
"Vocalist","Irving Berlin"
"Bass Trombone","Irving Berlin"
"Vocalist","Irving Berlin"
"Baritone","Irving Berlin"
"Trumpet","Irving Berlin"
"Percussion","Irving Berlin"
"Vocalist","Irving Berlin"
"Soprano","Irving Berlin"
"Soprano","Irving Berlin"
"Vocalist","Irving Berlin"
"Piano","Irving Berlin"
"Soprano","Irving Berlin"
"Soprano","Irving Berlin"
"Vocalist","Irving Berlin"
"Percussion","Irving Berlin"
"Soprano","Irving Berlin"
"Percussion","Irving Berlin"
"Jazz Bass","Irving Berlin"
"Soprano","Irving Berlin"
"Soprano","Hector Berlioz"
"Chorus","Hector Berlioz"
"Viola","Hector Berlioz"
"Tenor","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Soprano","Hector Berlioz"
"Chorus","Hector Berlioz"
"Alto","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Viola","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Chorus","Hector Berlioz"
"Bass","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Bass-Baritone","Hector Berlioz"
"Dancer","Hector Berlioz"
"Contralto","Hector Berlioz"
"Baritone","Hector Berlioz"
"Chorus","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Tenor","Hector Berlioz"
"Bass","Hector Berlioz"
"Viola","Hector Berlioz"
"Contralto","Hector Berlioz"
"Viola","Hector Berlioz"
"Tenor","Hector Berlioz"
"Baritone","Hector Berlioz"
"Tenor","Hector Berlioz"
"French Horn","Hector Berlioz"
"Soprano","Hector Berlioz"
"Organ","Hector Berlioz"
"Tenor","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Band","Hector Berlioz"
"Baritone","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Viola","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Baritone","Hector Berlioz"
"Chorus","Hector Berlioz"
"Chorus","Hector Berlioz"
"French Horn","Hector Berlioz"
"Actor","Hector Berlioz"
"Baritone","Hector Berlioz"
"Violin","Hector Berlioz"
"Baritone","Hector Berlioz"
"Bass","Hector Berlioz"
"Tenor","Hector Berlioz"
"Chorus","Hector Berlioz"
"Viola","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Orchestra","Hector Berlioz"
"Chorus","Hector Berlioz"
"Chorus","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Trumpet","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Band","Hector Berlioz"
"Trumpet","Hector Berlioz"
"Chorus","Hector Berlioz"
"Bass","Hector Berlioz"
"French Horn","Hector Berlioz"
"Viola","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Chorus","Hector Berlioz"
"Organ","Hector Berlioz"
"Baritone","Hector Berlioz"
"Tenor","Hector Berlioz"
"Soprano","Hector Berlioz"
"French Horn","Hector Berlioz"
"Soprano","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Violin","Hector Berlioz"
"Tenor","Hector Berlioz"
"Bass","Hector Berlioz"
"Chorus","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Soprano","Hector Berlioz"
"Guest Orchestra","Hector Berlioz"
"Guest Orchestra","Hector Berlioz"
"Tenor","Hector Berlioz"
"French Horn","Hector Berlioz"
"Alto","Hector Berlioz"
"Trumpet","Hector Berlioz"
"Tenor","Hector Berlioz"
"Soprano","Hector Berlioz"
"Chorus","Hector Berlioz"
"Trumpet","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Viola","Hector Berlioz"
"Chorus","Hector Berlioz"
"Soprano","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Bass","Hector Berlioz"
"Viola","Hector Berlioz"
"Tenor","Hector Berlioz"
"Chorus","Hector Berlioz"
"Soprano","Hector Berlioz"
"Bass","Hector Berlioz"
"Tenor","Hector Berlioz"
"Viola","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Bass","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Actor","Hector Berlioz"
"Chorus","Hector Berlioz"
"Chorus","Hector Berlioz"
"Chorus","Hector Berlioz"
"Trombone","Hector Berlioz"
"Tuba","Hector Berlioz"
"Tenor","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Contralto","Hector Berlioz"
"Tenor","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Viola","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Soprano","Hector Berlioz"
"Organ","Hector Berlioz"
"Viola","Hector Berlioz"
"Trombone","Hector Berlioz"
"Piano","Hector Berlioz"
"Chorus","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Bass Trombone","Hector Berlioz"
"Tenor","Hector Berlioz"
"Viola","Hector Berlioz"
"Bass","Hector Berlioz"
"Soprano","Hector Berlioz"
"Viola","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Bass","Hector Berlioz"
"Viola","Hector Berlioz"
"Soprano","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Baritone","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Soprano","Hector Berlioz"
"Viola","Hector Berlioz"
"Bass","Hector Berlioz"
"Chorus","Hector Berlioz"
"Viola","Hector Berlioz"
"Tenor","Hector Berlioz"
"Baritone","Hector Berlioz"
"Bass-Baritone","Hector Berlioz"
"Alto","Hector Berlioz"
"Organ","Hector Berlioz"
"Harp","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Chorus","Hector Berlioz"
"Organ","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Chorus","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Baritone","Hector Berlioz"
"Chorus","Hector Berlioz"
"Chorus","Hector Berlioz"
"Bass","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Tenor","Hector Berlioz"
"Viola","Hector Berlioz"
"Tenor","Hector Berlioz"
"Soprano","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Chorus","Hector Berlioz"
"Bass-Baritone","Hector Berlioz"
"Soprano","Hector Berlioz"
"Soprano","Hector Berlioz"
"Bass-Baritone","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Soprano","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Tenor","Hector Berlioz"
"Baritone","Hector Berlioz"
"Tenor","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Flute","Hector Berlioz"
"Alto","Hector Berlioz"
"Soprano","Hector Berlioz"
"Soprano","Hector Berlioz"
"Tenor","Hector Berlioz"
"Tenor","Hector Berlioz"
"Viola","Hector Berlioz"
"Chorus","Hector Berlioz"
"Contralto","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Chorus","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Tenor","Hector Berlioz"
"Flute","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Tenor","Hector Berlioz"
"Tenor","Hector Berlioz"
"Baritone","Hector Berlioz"
"Organ","Hector Berlioz"
"Viola","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Viola","Hector Berlioz"
"Baritone","Hector Berlioz"
"Soprano","Hector Berlioz"
"Contralto","Hector Berlioz"
"Tenor","Hector Berlioz"
"Tenor","Hector Berlioz"
"Flute","Hector Berlioz"
"Contralto","Hector Berlioz"
"Soprano","Hector Berlioz"
"Contralto","Hector Berlioz"
"Baritone","Hector Berlioz"
"Tenor","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Baritone","Hector Berlioz"
"Actor","Hector Berlioz"
"Actor","Hector Berlioz"
"Actor","Hector Berlioz"
"Baritone","Hector Berlioz"
"Tenor","Hector Berlioz"
"Bass","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Soprano","Hector Berlioz"
"Bass","Hector Berlioz"
"Actor","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Contralto","Hector Berlioz"
"Organ","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Viola","Hector Berlioz"
"Soprano","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Viola","Hector Berlioz"
"Viola","Hector Berlioz"
"Actor","Hector Berlioz"
"Viola","Hector Berlioz"
"Viola","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Tenor","Hector Berlioz"
"Bass","Hector Berlioz"
"Soprano","Hector Berlioz"
"Tenor","Hector Berlioz"
"Actor","Hector Berlioz"
"Bass","Hector Berlioz"
"Soprano","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Bass","Hector Berlioz"
"Orchestra","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Chorus","Hector Berlioz"
"Viola","Hector Berlioz"
"Viola","Hector Berlioz"
"Chorus","Hector Berlioz"
"Contralto","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Chorus","Hector Berlioz"
"Chorus","Hector Berlioz"
"Viola","Hector Berlioz"
"Chorus","Hector Berlioz"
"Tenor","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Bass","Hector Berlioz"
"Viola","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Viola","Hector Berlioz"
"Baritone","Hector Berlioz"
"Viola","Hector Berlioz"
"Boys Choir","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Soprano","Hector Berlioz"
"Tenor","Hector Berlioz"
"Bass","Hector Berlioz"
"Orchestra","Hector Berlioz"
"Chorus","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Mens Chorus","Hector Berlioz"
"Mezzo-Soprano","Hector Berlioz"
"Vocalist","Hector Berlioz"
"Bass","Hector Berlioz"
"Bass-Baritone","Hector Berlioz"
"Bass","Hector Berlioz"
"Bass","Hector Berlioz"
"Tenor","Hector Berlioz"
"Tenor","Felipe Bermejo"
"None","Felix Bernard"
"Boys Choir","Felix Bernard"
"Jazz Ensemble","Ben Bernie"
"Jazz Ensemble","Ben Bernie"
"Trumpet","Ben Bernie"
"Trumpet","Ben Bernie"
"Ensemble","Elmer Bernstein"
"Violin","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Singer","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Singer","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Drum Set","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Tenor","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Singer","Leonard Bernstein"
"Percussion","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Guest Orchestra","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Bass Trombone","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Band","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Guest Orchestra","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Tenor","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Piano","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Jazz Bass","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Singer","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"Clarinet","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Violin","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Singer","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Narrator","Leonard Bernstein"
"Tenor","Leonard Bernstein"
"Singer","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Tenor","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Brass Quintet","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Tenor","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Violin","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Piano","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Narrator","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Bass Trombone","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Tenor","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Clarinet","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Boys Choir","Leonard Bernstein"
"Bass Trombone","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Contrabass","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Jazz Bass","Leonard Bernstein"
"Bass Trombone","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Trombone","Leonard Bernstein"
"Brass Quintet","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"French Horn","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Contrabass","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Tenor","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Baritone","Leonard Bernstein"
"Tuba","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Percussion","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Chorus","Leonard Bernstein"
"Dancer","Leonard Bernstein"
"Viola","Leonard Bernstein"
"Piano","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Soprano","Leonard Bernstein"
"Mezzo-Soprano","Leonard Bernstein"
"Violin","Leonard Bernstein"
"Trumpet","Leonard Bernstein"
"Vocalist","Leonard Bernstein"
"Ensemble","Leonard Bernstein"
